CODE;LIBELLE;URL
44184;Saint-Nazaire;https://upload.wikimedia.org/wikipedia/commons/1/17/Blason_ville_fr_Saint-Nazaire_%28Loire-Atlantique%29_v2.svg
44036;Châteaubriant;https://upload.wikimedia.org/wikipedia/commons/6/68/Blason_ville_fr_Ch%C3%A2teaubriant_%28Loire-Atlantique%29.svg
45208;Montargis;https://upload.wikimedia.org/wikipedia/commons/2/2d/Blason_ville_fr_Montargis4_%28Loiret%29.svg
45234;Orléans;https://upload.wikimedia.org/wikipedia/commons/3/32/Blason_Orl%C3%A9ans.svg
45252;Pithiviers;https://upload.wikimedia.org/wikipedia/commons/9/97/Blason_ville_fr_Pithiviers_%28Loiret%29.svg
46042;Cahors;https://upload.wikimedia.org/wikipedia/commons/6/67/Blason_Ville_Cahors_fr_%28Lot%29.svg
46102;Figeac;https://upload.wikimedia.org/wikipedia/commons/b/b6/Blason_Figeac.svg
46127;Gourdon;https://upload.wikimedia.org/wikipedia/commons/8/8a/Blason_ville_fr_Gourdon_%28Lot%29.svg
47001;Agen;https://upload.wikimedia.org/wikipedia/commons/3/3f/Blason_ville_fr_Agen_%28Lot-et-Garonne%29.svg
47157;Marmande;https://upload.wikimedia.org/wikipedia/commons/f/f9/Blason_ville_fr_Marmande_%28LotGaronne%29.svg
47323;Villeneuve-sur-Lot;https://upload.wikimedia.org/wikipedia/commons/6/6c/Blason_ville_fr_Villeneuve-sur-Lot_%28Lot-et-Garonne%29.svg
47195;Nérac;https://upload.wikimedia.org/wikipedia/commons/4/49/Blason_ville_fr_Nerac_%28LotGaronne%29.svg
48061;Florac Trois Rivières;https://upload.wikimedia.org/wikipedia/commons/4/4c/Blason_ville_fr_Florac_48.svg
48095;Mende;https://upload.wikimedia.org/wikipedia/commons/3/35/Blason_Mende.svg
49007;Angers;https://upload.wikimedia.org/wikipedia/commons/c/ce/Blason_d%27Angers.svg
49099;Cholet;https://upload.wikimedia.org/wikipedia/commons/3/32/Blason_ville_fr_Cholet_%28Maine-et-Loire%29.svg
49328;Saumur;https://upload.wikimedia.org/wikipedia/commons/1/12/Blason_ville_fr_Saumur_%28Maine-et-Loire%29_2.svg
